,ta,tr,vel,rh,met,clo,pmv,ppd,pmv_ce,ppd_ce,thermal_acceptability,thermal_preference,thermal_comfort
5795,23.579999999999995,23.59,0.11,46.0,1.0428327645051196,0.4900000000000001,-0.93,23.3,-0.93,23.3,1,no change,6.0
5796,23.37,23.3,0.12,46.0,1.241467576791809,0.41,-0.94,23.7,-0.85,20.1,1,no change,4.0
5812,21.8,21.95,0.24,55.0,1.6387372013651875,0.4300000000000001,-0.92,22.7,-1.03,27.5,1,no change,4.0
5818,21.57,21.739999999999995,0.18,52.0,1.390443686006826,0.2800000000000001,-1.83,68.6,-1.78,65.8,1,warmer,4.0
5819,21.88,22.13,0.1,52.0,1.261262798634812,0.51,-0.99,25.6,-0.89,21.9,1,warmer,3.0
5822,22.19,22.48999999999999,0.12,51.0,1.1421501706484645,0.56,-0.94,23.8,-0.82,19.2,0,cooler,5.0
5825,22.46,22.53,0.1,54.0,1.241467576791809,0.38,-1.2,35.4,-1.09,30.1,1,no change,6.0
5829,22.56,22.65,0.1,54.0,1.1421501706484645,0.4300000000000001,-1.13,31.9,-0.98,25.4,1,no change,5.0
5833,21.89,21.92,0.1,56.0,1.1918088737201364,0.37,-1.44,47.5,-1.31,40.7,1,no change,5.0
5835,22.36,22.53,0.1,55.0,1.440102389078498,0.4,-0.85,20.4,-0.84,19.9,0,warmer,2.0
5842,21.78,21.92,0.1,57.0,1.1421501706484645,0.44,-1.34,42.4,-1.2,35.2,1,no change,6.0
5883,23.329999999999995,23.84,0.13,63.0,1.2911262798634808,0.32,-0.98,25.3,-0.91,22.5,0,no change,3.0
5903,23.66,24.079999999999995,0.17,48.0,1.0924914675767918,0.37,-1.29,39.5,-1.16,33.4,1,no change,5.0
5918,22.84,23.26,0.12,41.0,1.1918088737201364,0.3399999999999999,-1.32,41.1,-1.2,35.2,1,cooler,4.0
5927,23.31,23.29,0.1,37.0,1.2911262798634808,0.32,-1.12,31.4,-1.03,27.3,1,no change,5.0
5934,23.0,23.28,0.1,39.0,1.4897610921501698,0.27,-1.02,27.0,-1.02,26.9,1,no change,6.0
5935,23.52,23.73,0.1,38.0,1.1918088737201364,0.27,-1.27,39.0,-1.14,32.2,1,no change,6.0
5954,24.170000000000005,24.329999999999995,0.15,46.0,1.0924914675767918,0.3299999999999999,-1.2,35.4,-1.06,28.6,1,cooler,5.0
5966,21.21,21.22,0.11,49.0,1.1918088737201364,0.57,-1.13,31.8,-1.02,26.9,0,warmer,3.0
5973,20.86,21.15,0.1,50.0,1.1918088737201364,0.77,-0.68,14.7,-0.58,12.1,0,warmer,3.0
5978,21.76,21.89,0.1,46.0,1.1918088737201364,0.55,-0.99,25.7,-0.87,21.0,0,warmer,3.0
5999,22.29,22.64,0.1,59.0,1.2911262798634808,0.48,-0.84,19.8,-0.76,17.2,1,cooler,5.0
6002,22.37,22.79,0.12,58.0,1.390443686006826,0.29,-1.26,38.4,-1.22,36.2,1,no change,5.0
6003,22.25,22.31,0.1,59.0,1.241467576791809,0.37,-1.28,39.1,-1.16,33.5,1,cooler,3.0
6004,22.41,22.469999999999995,0.15,58.0,1.241467576791809,0.52,-0.95,24.2,-0.88,21.5,1,no change,6.0
6007,22.969999999999995,23.11,0.1,63.0,1.1918088737201364,0.41,-0.88,21.5,-0.75,16.9,1,no change,6.0
6009,23.05,23.27,0.1,62.0,1.261262798634812,0.36,-0.96,24.3,-0.85,20.3,1,no change,6.0
6010,22.6,22.59,0.1,64.0,1.1918088737201364,0.44,-0.94,23.6,-0.81,18.8,1,no change,5.0
6012,22.28,22.41,0.1,64.0,1.241467576791809,0.48,-0.92,22.7,-0.81,18.8,1,no change,5.0
6013,22.21,22.42,0.1,65.0,1.0428327645051196,0.38,-1.55,53.7,-1.55,53.7,1,no change,5.0
6020,21.170000000000005,21.2,0.13,67.0,1.390443686006826,0.52,-1.0,26.0,-0.96,24.5,0,warmer,5.0
6021,21.93,22.3,0.12,64.0,1.1421501706484645,0.44,-1.29,40.0,-1.16,33.4,1,no change,6.0
6022,21.9,21.94,0.16,64.0,1.241467576791809,0.47,-1.26,38.2,-1.18,34.4,1,no change,6.0
6025,21.28,21.07,0.11,66.0,1.5145051194539252,0.52,-0.78,17.7,-0.8,18.4,1,no change,5.0
6028,21.68,21.76,0.12,50.0,1.241467576791809,0.51,-1.18,34.1,-1.09,29.9,1,no change,3.0
6032,22.010000000000005,22.28,0.12,49.0,1.0428327645051196,0.62,-1.09,30.0,-1.09,30.0,1,cooler,5.0
6038,20.69,20.579999999999995,0.1,50.0,1.1918088737201364,0.8,-0.7,15.3,-0.61,12.8,0,warmer,5.0
6063,23.53,23.52,0.14,64.0,1.241467576791809,0.36,-0.97,24.8,-0.88,21.4,1,cooler,5.0
6070,23.37,23.45,0.2,65.0,1.241467576791809,0.37,-1.14,32.5,-1.08,29.7,1,no change,3.0
6072,23.44,23.82,0.14,65.0,1.241467576791809,0.37,-0.91,22.4,-0.83,19.6,1,no change,5.0
6078,22.6,22.56,0.12,65.0,1.1918088737201364,0.42,-1.06,28.8,-0.95,24.0,1,no change,5.0
6082,22.44,22.48999999999999,0.1,64.0,1.0924914675767918,0.48,-1.08,29.5,-1.08,29.5,0,warmer,3.0
6084,22.41,22.44,0.1,63.0,1.241467576791809,0.41,-1.08,29.8,-0.97,25.0,1,no change,3.0
6121,23.15,23.43,0.1,56.0,1.241467576791809,0.38,-0.92,23.0,-0.81,18.9,0,warmer,5.0
6125,23.98999999999999,23.63,0.2,53.0,1.241467576791809,0.3299999999999999,-1.18,34.2,-1.12,31.2,1,warmer,5.0
