,ta,tr,vel,rh,met,clo,pmv,ppd,pmv_ce,ppd_ce,thermal_acceptability,thermal_preference,thermal_comfort
94855,27.1,26.9,0.12,54.0,1.2,0.57,0.67,14.5,0.63,13.3,0,no change,3.0
94857,29.9,22.1,0.14,65.0,1.6,0.48,0.91,22.6,0.53,11.0,1,no change,4.0
94860,26.8,26.0,0.21,65.0,2.0,0.39,0.87,21.1,0.27,6.5,1,no change,4.0
94861,26.8,26.0,0.21,65.0,2.0,0.12,0.33,7.3,-0.31,7.1,1,cooler,4.0
94862,26.8,26.0,0.21,65.0,1.2,0.12,-0.79,18.2,-0.73,16.3,1,no change,4.0
94863,26.8,26.0,0.21,65.0,1.6,0.53,0.71,15.8,0.35,7.5,1,cooler,4.0
94868,26.5,26.7,0.06,51.0,1.2,0.58,0.64,13.6,0.64,13.6,1,no change,5.0
94874,27.0,27.0,0.13,53.0,1.2,0.55,0.61,12.9,0.55,11.3,1,no change,4.0
94875,27.0,27.0,0.13,53.0,1.2,0.58,0.66,14.2,0.6,12.5,1,cooler,4.0
94876,27.0,27.0,0.13,53.0,1.2,0.45,0.44,9.1,0.39,8.2,1,no change,5.0
94880,27.0,27.0,0.13,53.0,1.2,0.45,0.44,9.1,0.39,8.2,1,no change,5.0
94881,26.1,25.5,0.08,65.0,1.2,0.79,0.78,17.9,0.83,19.7,1,no change,4.0
94884,26.1,25.5,0.08,65.0,1.2,0.72,0.69,15.0,0.75,16.8,1,no change,5.0
94885,26.4,27.1,0.19,65.0,1.2,0.39,0.19,5.7,0.09,5.2,1,no change,5.0
94886,26.4,27.1,0.19,65.0,1.2,0.47,0.36,7.7,0.24,6.2,1,no change,5.0
94887,26.4,27.1,0.19,65.0,1.2,0.51,0.44,9.0,0.31,7.0,1,cooler,3.0
94889,26.4,27.1,0.19,65.0,2.0,0.77,1.31,40.9,0.81,18.8,1,cooler,3.0
94890,26.4,27.1,0.19,65.0,1.2,0.55,0.51,10.5,0.39,8.1,1,no change,6.0
94891,26.4,27.1,0.19,65.0,1.0,0.55,0.23,6.1,0.24,6.2,1,no change,3.0
94892,26.4,27.1,0.19,65.0,1.2,0.55,0.51,10.5,0.39,8.1,1,no change,4.0
94893,26.4,27.1,0.19,65.0,1.2,0.53,0.47,9.7,0.35,7.5,1,no change,5.0
94894,26.4,27.1,0.19,65.0,1.0,0.55,0.23,6.1,0.24,6.2,1,no change,4.0
94895,26.5,26.2,0.25,65.0,3.0,0.46,1.92,73.0,0.6,12.5,1,no change,4.0
94896,26.5,26.2,0.25,65.0,3.0,0.45,1.91,72.5,0.58,12.0,1,no change,4.0
94898,26.4,26.0,0.14,63.0,2.0,0.6,1.09,29.9,0.58,12.1,1,no change,4.0
94899,26.4,26.0,0.14,63.0,2.0,0.55,1.03,27.5,0.52,10.7,1,no change,4.0
94900,26.5,26.9,0.15,64.0,1.0,0.51,0.22,6.0,0.31,7.0,1,no change,4.0
94901,26.5,26.9,0.15,64.0,1.0,0.48,0.15,5.5,0.25,6.3,1,no change,4.0
94902,26.5,26.9,0.15,64.0,1.2,0.54,0.54,11.1,0.47,9.5,1,warmer,4.0
94903,26.5,26.9,0.15,64.0,1.6,0.53,0.78,17.9,0.47,9.6,1,no change,4.0
94904,26.5,26.9,0.15,64.0,1.2,0.4,0.27,6.5,0.22,6.0,1,no change,4.0
94905,26.3,25.4,0.15,69.0,1.2,0.56,0.38,8.1,0.32,7.2,1,warmer,3.0
94906,26.3,25.4,0.15,69.0,1.2,0.61,0.48,9.7,0.41,8.4,1,warmer,3.0
94908,26.1,25.5,0.26,63.0,2.0,0.49,0.8,18.5,0.21,5.9,1,no change,4.0
94910,26.1,25.5,0.26,63.0,1.2,0.72,0.48,9.8,0.29,6.8,1,no change,4.0
94912,25.8,26.0,0.14,63.0,2.0,0.6,0.98,25.5,0.5,10.3,1,no change,4.0
94914,26.4,26.4,0.1,64.0,1.2,0.54,0.54,11.1,0.57,11.7,1,warmer,4.0
94915,26.4,26.4,0.1,64.0,1.2,0.4,0.28,6.7,0.33,7.3,1,no change,4.0
94916,26.6,26.8,0.17,65.0,1.2,0.64,0.69,15.2,0.58,12.0,1,no change,4.0
94917,26.6,26.8,0.17,65.0,1.0,0.46,0.07,5.1,0.13,5.3,1,no change,3.0
94918,26.6,26.8,0.17,65.0,1.2,0.57,0.58,12.1,0.47,9.6,0,cooler,4.0
94919,26.6,26.8,0.17,65.0,1.2,0.7,0.78,17.9,0.66,14.3,1,cooler,3.0
94920,26.6,26.8,0.17,65.0,1.2,0.55,0.54,11.2,0.44,9.0,1,no change,4.0
94921,26.6,26.8,0.17,65.0,1.2,0.55,0.54,11.2,0.44,9.0,1,no change,4.0
94922,26.6,26.8,0.17,65.0,1.2,0.42,0.29,6.8,0.21,5.9,0,warmer,3.0
94923,26.6,26.8,0.17,65.0,1.2,0.36,0.16,5.5,0.09,5.2,1,no change,4.0
