,ta,tr,vel,rh,met,clo,pmv,ppd,pmv_ce,ppd_ce,thermal_acceptability,thermal_preference,thermal_comfort
1787,21.026666666666667,21.34367738174345,0.1816666666666666,49.510000000000005,1.375,1.04,-0.16,5.5,-0.23,6.1,1,warmer,5.0
1789,22.739999999999995,22.7465835280827,0.143,42.91,1.117,1.1499999999999997,0.13,5.4,0.14,5.4,1,no change,6.0
1791,21.776666666666667,22.27155598160892,0.2123333333333334,45.470000000000006,1.117,0.82,-0.7,15.4,-0.66,14.3,1,warmer,6.0
1795,22.366666666666664,22.51676794529287,0.0993333333333333,44.720000000000006,1.2669999999999997,0.8,-0.28,6.6,-0.24,6.2,1,warmer,5.0
1796,22.6,22.92475492591149,0.1413333333333333,44.28,1.0309999999999997,0.8300000000000001,-0.53,10.9,-0.44,9.0,1,warmer,5.0
1797,22.736666666666668,22.967616825689102,0.117,43.66,1.2029999999999998,0.6,-0.7,15.2,-0.61,12.8,0,warmer,5.0
1798,22.03,22.67591029584376,0.173,44.36,1.2029999999999998,0.7,-0.75,16.7,-0.7,15.4,1,no change,3.0
1799,23.13666666666667,23.071104014570324,0.1363333333333333,53.330000000000005,1.336,0.8600000000000001,0.06,5.1,-0.01,5.0,1,no change,5.0
1801,23.193333333333324,23.319395342196483,0.068,52.540000000000006,1.2029999999999998,0.57,-0.44,9.1,-0.44,9.1,1,cooler,3.0
1802,23.076666666666664,23.33205814356193,0.1013333333333333,54.620000000000005,1.486,0.64,-0.08,5.1,-0.15,5.5,1,no change,6.0
1803,22.706666666666667,23.287567878355613,0.1223333333333333,48.510000000000005,1.718,0.8300000000000001,0.3,6.9,0.09,5.2,1,no change,6.0
1804,23.69,23.88486210796861,0.1716666666666666,48.23000000000001,1.546,0.56,-0.13,5.4,-0.31,6.9,1,no change,4.0
1805,23.286666666666672,23.1305058464028,0.126,53.55,1.546,0.8500000000000001,0.28,6.6,0.12,5.3,1,no change,6.0
1806,23.78,23.60983231755017,0.1543333333333333,52.040000000000006,1.3959999999999997,0.44,-0.54,11.2,-0.59,12.2,1,no change,6.0
1807,23.95333333333332,23.941974568723097,0.158,50.620000000000005,1.387,0.54,-0.28,6.6,-0.35,7.5,1,no change,6.0
1808,23.89,23.837795891598567,0.0963333333333333,49.540000000000006,1.546,0.82,0.39,8.1,0.24,6.2,1,no change,5.0
1809,23.24333333333332,23.75912608483012,0.3226666666666667,53.27,1.2669999999999997,0.94,0.01,5.0,-0.15,5.4,1,no change,5.0
1810,23.49333333333332,23.79543119335585,0.1873333333333333,50.05,1.598,1.05,0.57,11.7,0.33,7.3,1,no change,5.0
1811,23.576666666666668,23.71946503178223,0.13,51.220000000000006,1.4389999999999998,0.61,-0.12,5.3,-0.2,5.9,0,cooler,3.0
1812,23.670000000000005,23.87488320255539,0.166,52.13,1.375,0.4900000000000001,-0.47,9.5,-0.52,10.6,1,no change,6.0
1813,21.903333333333325,22.03392293841485,0.1593333333333333,42.150000000000006,1.4179999999999997,0.57,-0.79,18.2,-0.82,19.0,1,no change,5.0
1818,23.55666666666667,23.570822678261848,0.1896666666666666,38.13,1.224,0.73,-0.34,7.5,-0.38,8.0,1,no change,5.0
1820,23.873333333333324,24.22653221635753,0.0966666666666666,36.150000000000006,1.246,0.59,-0.31,6.9,-0.25,6.3,0,cooler,1.0
1823,22.706666666666667,22.55190659323152,0.2166666666666667,39.620000000000005,1.117,0.7799999999999999,-0.64,13.6,-0.62,13.1,1,no change,6.0
1826,22.9,23.047995885623152,0.1523333333333333,39.330000000000005,1.3959999999999997,0.8,-0.11,5.2,-0.19,5.8,1,no change,6.0
1829,23.236666666666668,23.47800132339195,0.059,37.0,1.516,0.6,-0.11,5.2,-0.15,5.5,0,no change,2.0
1830,23.38333333333333,23.58069778729613,0.1643333333333333,34.760000000000005,1.516,0.55,-0.33,7.3,-0.47,9.6,1,no change,5.0
1831,23.329999999999995,23.38596415016424,0.1016666666666666,34.620000000000005,1.181,0.97,0.13,5.4,0.17,5.6,1,no change,5.0
1832,23.003333333333323,23.06958225725524,0.1583333333333333,36.63,1.598,0.6899999999999998,-0.07,5.1,-0.25,6.3,0,warmer,5.0
1833,24.06333333333332,23.97031629965413,0.232,34.980000000000004,1.336,0.6899999999999998,-0.2,5.9,-0.33,7.3,1,no change,5.0
1834,24.20333333333332,23.98159003121429,0.2083333333333333,34.970000000000006,1.598,0.7799999999999999,0.27,6.5,0.01,5.0,1,no change,4.0
1836,24.183333333333323,24.06365212508544,0.2186666666666667,34.68,1.598,0.44,-0.33,7.3,-0.56,11.5,1,warmer,6.0
1839,23.843333333333323,22.73531994473838,0.2153333333333334,32.2,1.387,0.52,-0.66,14.2,-0.72,16.0,1,no change,6.0
1840,23.58666666666667,24.390448838175768,0.165,32.13,1.237,0.54,-0.63,13.4,-0.62,13.0,1,no change,6.0
1842,22.71,23.526185686229592,0.6003333333333333,31.55,1.6879999999999995,0.4900000000000001,-0.79,18.2,-1.07,29.0,1,no change,5.0
1847,21.96,22.37743227232938,0.0989999999999999,41.89,1.2669999999999997,0.74,-0.48,9.8,-0.42,8.7,1,cooler,5.0
1848,22.22666666666667,22.641620636216448,0.1213333333333332,41.49,1.598,0.63,-0.27,6.6,-0.4,8.4,1,no change,5.0
1851,22.433333333333326,22.95993052718112,0.2056666666666666,40.620000000000005,1.314432989690722,0.61,-0.75,16.7,-0.77,17.4,1,no change,6.0
